host_type,room_category,n,mean_price,sd_price,se_price
Regular Host,Entire Place,4505,144.04372918978922,104.28760102124133,1.5537648042688437
Regular Host,Private Room,1485,95.49494949494942,105.6478448624054,2.7415578559441
Superhost,Entire Place,2070,168.22946859903388,110.93450752621929,2.438268269618899
Superhost,Private Room,723,74.30013831258644,40.49988663138894,1.506206990469832
