quantile,room_type_clean,premium_percentage,premium_absolute,regular_host_price,superhost_price
0.25,Entire home/apt,12.016365819968613,9.309859154929583,77.4764957592969,86.78635491422648
0.25,Private room,8.304412067938012,3.51549295774646,42.332833787465916,45.848326745212375
0.5,Entire home/apt,15.461562109991227,16.890410958904113,109.24129682853692,126.13170778744103
0.5,Private room,-4.130741617533613,-2.534246575342472,61.350885869632826,58.816639294290354
0.75,Entire home/apt,19.608915055317453,31.060692002268866,158.40086978114567,189.46156178341454
0.75,Private room,-14.504937180068703,-13.12081678956325,90.45759127859321,77.33677448902996
0.9,Entire home/apt,18.702852711670932,42.87048192771084,229.21894637473594,272.0894283024468
0.9,Private room,-30.209295472112768,-46.90135542168676,155.2547144470251,108.35335902533834
