quantile,term,estimate,std.error,t.value,p.value
0.25,(Intercept),105.41734082971944,3.439335887702153,30.65049308113654,0
0.25,is_superhost,9.309859154929581,2.064877682804357,4.5086734349734705,6.607938422220627e-6
0.25,room_type_cleanPrivate room,-35.14366197183099,1.5185131597078205,-23.143468824855645,0
0.25,neighbourhood_groupBrunnenstr. Nord,-7.788732394366189,6.948243607597189,-1.1209642082568914,0.26233372857224246
0.25,neighbourhood_groupBrunnenstr. Süd,4.0535211267605655,5.174976419329761,0.7832926758119525,0.4334763716404604
0.25,neighbourhood_groupDüsseldorfer Straße,-18.940845070422533,7.521481671401826,-2.5182332282267477,0.011812137292168234
0.25,neighbourhood_groupFrankfurter Allee Nord,-21.72676056338027,5.869163829390271,-3.7018493937044177,2.1534285176327828e-4
0.25,neighbourhood_groupFrankfurter Allee Süd FK,-17.250704225352106,4.532195326996045,-3.8062578906514015,1.420436492702848e-4
0.25,neighbourhood_groupNeuköllner Mitte/Zentrum,-16.690140845070417,4.135102577797233,-4.03620962988571,5.4782526451191416e-5
0.25,neighbourhood_groupOther,-27.940845070422537,3.327015695545119,-8.398170500919303,0
0.25,neighbourhood_groupPrenzlauer Berg Nordwest,-30.46197183098591,5.183540308905508,-5.876673087436235,4.338416292881675e-9
0.25,neighbourhood_groupPrenzlauer Berg Süd,-5.991549295774646,5.275205603006252,-1.1357944593401557,0.2560735700444927
0.25,neighbourhood_groupPrenzlauer Berg Südwest,-0.9492957746478843,4.87333567928815,-0.19479384083522608,0.8455588471444788
0.25,neighbourhood_groupReuterstraße,-22.21971830985916,4.388884286026101,-5.062725937114629,4.2168993963365153e-7
0.25,neighbourhood_groupSchöneberg-Nord,-21.797183098591553,5.65097717374792,-3.857241398859681,1.1549303553648471e-4
0.25,neighbourhood_groupSüdliche Friedrichstadt,-3.5802816901408385,4.898259874522424,-0.7309293058874123,0.4648418214560648
0.25,neighbourhood_groupsüdliche Luisenstadt,-14.43098591549295,4.785749080775232,-3.015407968934993,0.0025736700908489674
0.25,neighbourhood_groupTempelhofer Vorstadt,-19.9830985915493,3.8791787496199555,-5.1513734945849174,2.641996927899015e-7
0.25,reviews_scaled,0.9574016919961896,0.6282895499347281,1.5238224033738146,0.12758906439471795
0.25,is_superhost:room_type_cleanPrivate room,-5.7943661971831055,2.4292821573000687,-2.3852174519007,0.01709009449281851
0.5,(Intercept),159.22759819839993,4.410547336016838,36.10155068468175,0
0.5,is_superhost,16.890410958904113,2.3535331321696717,7.1766191552753735,7.72715225139109e-13
0.5,room_type_cleanPrivate room,-47.8904109589041,1.6211081701443757,-29.54177385623748,0
0.5,neighbourhood_groupBrunnenstr. Nord,-1.7260273972602704,9.767104802092657,-0.1767184270297232,0.8597336383004079
