quantile,term,estimate,std.error,t.value,p.value
0.9,neighbourhood_groupBrunnenstr. Nord,7.610316265060254,28.66648244347198,0.26547785484553926,0.7906475943696014
0.9,neighbourhood_groupBrunnenstr. Süd,-0.42545180722891307,15.888032339823077,-0.02677813074200041,0.97863730412482
0.9,neighbourhood_groupDüsseldorfer Straße,-12.501506024096372,19.654359179274987,-0.636067851923602,0.5247487625531071
0.9,neighbourhood_groupFrankfurter Allee Nord,-120.14307228915663,11.338419750087414,-10.596103772594093,0
0.9,neighbourhood_groupFrankfurter Allee Süd FK,-101.70519578313254,12.5752304685418,-8.087740104450434,6.661338147750939e-16
0.9,neighbourhood_groupNeuköllner Mitte/Zentrum,-58.40926204819278,30.65002022815116,-1.9056842903661628,0.056723776590652975
0.9,neighbourhood_groupOther,-91.90022590361446,9.467334734039536,-9.70708530809519,0
0.9,neighbourhood_groupPrenzlauer Berg Nordwest,-91.19239457831328,17.028455363020914,-5.355294572186928,8.757549130322673e-8
0.9,neighbourhood_groupPrenzlauer Berg Süd,-68.85090361445785,20.981701407029792,-3.281473808000612,0.0010366884174812796
0.9,neighbourhood_groupPrenzlauer Berg Südwest,-14.595632530120486,17.76168647379554,-0.8217481235047107,0.4112425571564087
0.9,neighbourhood_groupReuterstraße,-111.24171686746989,14.665507075584694,-7.585262227493408,3.6415315207705135e-14
0.9,neighbourhood_groupSchöneberg-Nord,-76.1159638554217,25.515849998784002,-2.9830855667770866,0.0028614199970542487
0.9,neighbourhood_groupSüdliche Friedrichstadt,-60.38102409638557,22.113041485295312,-2.730561697563749,0.00633525523911338
0.9,neighbourhood_groupsüdliche Luisenstadt,-100.82868975903617,14.344168672951549,-7.029245964540726,2.2315482794965646e-12
0.9,neighbourhood_groupTempelhofer Vorstadt,-95.31061746987953,15.031814047587991,-6.3405931691373665,2.401603360624449e-10
0.9,reviews_scaled,-5.587847099182078,1.231286909124876,-4.538216932033802,5.748559456675295e-6
0.9,is_superhost:room_type_cleanPrivate room,-89.7718373493976,11.372901224435633,-7.893486066379902,3.3306690738754696e-15
