term,estimate,std.error,statistic,p.value,significant
is_superhost_factor1:room_type_factorPrivate room,2.296831152285356,6.706854990913656,0.34246023738355275,0.7320127697583998,FALSE
is_superhost_factor1:price_tier_factorMedium,-4.008885628188787,4.931592685349831,-0.8128987700257344,0.4162981662561056,FALSE
is_superhost_factor1:price_tier_factorExpensive,5.977406786743738,4.848410048370367,1.232859169729847,0.2176613571695822,FALSE
room_type_factorPrivate room:price_tier_factorMedium,-26.992682559793185,5.425881453779282,-4.974801382914846,6.655508250265414e-7,TRUE
room_type_factorPrivate room:price_tier_factorExpensive,-50.437507030781525,5.327461330900984,-9.46745624191166,3.618066509556135e-21,TRUE
is_superhost_factor1:room_type_factorPrivate room:price_tier_factorMedium,-2.3304730840895624,9.339719136780264,-0.24952282289860805,0.802962232780706,FALSE
is_superhost_factor1:room_type_factorPrivate room:price_tier_factorExpensive,-61.7776393125808,9.777339742180647,-6.31845071784347,2.7706296337247913e-10,TRUE
