room_type_clean,price_tier,n_superhost,n_regular,total_n,superhost_mean,regular_mean,premium_absolute,premium_percentage,price_range_min,price_range_max,adequate_sample,p_value,t_statistic,significant
Entire home/apt,Cheap,573,1604,2177,75.10820244328099,71.31047381546134,3.7977286278196516,5.325625289838198,10,98,TRUE,2.2384623152506515e-6,4.756835767631671,TRUE
Entire home/apt,Medium,665,1599,2264,126.77443609022558,126.72170106316449,0.05273502706108957,0.04161483520079834,99,160,TRUE,0.9494340132330276,0.06343004977456175,FALSE
Entire home/apt,Expensive,832,1302,2134,265.4963942307692,254.92089093701998,10.57550329374925,4.148543202903676,161,1392,TRUE,0.05230886834456773,1.941774092035826,FALSE
Private room,Cheap,251,509,760,45.21115537848605,39.59332023575639,5.6178351427296604,14.18884576812085,12,55,TRUE,7.132351730874798e-16,8.311571570801409,TRUE
Private room,Medium,290,448,738,68.19310344827586,67.87946428571429,0.31363916256157154,0.462053090521497,56,81,TRUE,0.5732349110827294,0.5635897616234813,FALSE
Private room,Expensive,182,528,710,124.14835164835165,172.81628787878782,-48.66793623043617,-28.16166047066786,82,1200,TRUE,1.2011975066436538e-10,-6.536994496516905,TRUE
