Model,Dataset,rmse,mae,r_squared,mape
Base_Model,Training,414.87414587820393,88.3867982837098,0.00688963776823288,73.94103051639063
Extended_Model,Training,413.9619257513029,87.95260351125621,0.011252113907293446,74.09709518134332
Advanced_Model,Training,413.9475785081311,87.85519951280278,0.011320649488206963,73.93302119395071
Log_Transformed,Training,416.54924817851776,75.10087577639901,0.006750692435537032,46.01982993978928
Base_Model,Test,399.735600856937,88.75156323489614,0.005132047831339845,75.65043816520368
Extended_Model,Test,399.0482300229539,88.92830706034556,0.008664147544215087,76.43154438982012
Advanced_Model,Test,399.10952112205456,89.0046014143836,0.008431220195272204,76.43551417706453
Log_Transformed,Test,401.42468630370934,75.59584893272053,0.004843534289247101,47.36663879077289
