room_category,Regular Host,Superhost,absolute_premium,relative_premium_pct
Entire Place,144.04372918978922,168.22946859903388,24.18573940924466,16.790553497388284
Private Room,95.49494949494942,74.30013831258644,-21.194811182362983,-22.194693326146993
