Model,r_squared_Training,r_squared_Test,rmse_Training,rmse_Test,r_squared_difference,rmse_difference,overfitting_concern
Base_Model,0.00688963776823288,0.005132047831339845,414.87414587820393,399.735600856937,0.0017575899368930349,-15.138545021266907,No
Extended_Model,0.011252113907293446,0.008664147544215087,413.9619257513029,399.0482300229539,0.0025879663630783596,-14.913695728349012,No
Advanced_Model,0.011320649488206963,0.008431220195272204,413.9475785081311,399.10952112205456,0.0028894292929347587,-14.838057386076514,No
Log_Transformed,0.006750692435537032,0.004843534289247101,416.54924817851776,401.42468630370934,0.0019071581462899306,-15.124561874808421,No
